"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Africa Western and Central","AFW","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","124634.060047143","139982.240696829","125549.01839404","122110.217654769","221576.341727446","3071440.95410797","58650568.4202093","85049182.9408369","30592773.9154916","14479603.20155","3249268.7707697","2660288.72814196","4111132.78287049","1466785.37753345","2529399.87322228","1252353.30427846","919342.173835729","1225449.50513456","3766087.24335112","4803075.61950148","1723322.2080514","1787869.35177278","4450062.87347925","8642808.0943644","7558945.356209","11836951.4148913","12565896.594549","8571818.72508944","7642540.62719767","56895380.2244889","15260467.6896756","105306761.340253","115950984.454925","219481160.740204","247502232.858802","262738120.496683","266899774.002394","251239858.934063","283984358.688477","278039100.438778","289056236.188106","276882578.310601","273617352.791183","278307224.628641","332642747.646662","509385574.525355","445333606.046189","534125191.72023","537611642.88278","254797164.555933",
"Angola","AGO","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6044860178165","12.9847261607326","19.3823445175327","23.3127313632868","27.4922504665098","23.3938244990167","16.1267528113752","22.0635039995781","",
"Angola","AGO","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102003480","101140545","90107053","62390408","79251892","46119159","43596164","77204455","",
"Angola","AGO","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.4243","","","","","5.20066","","","","","","","",
"Angola","AGO","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.3126487731934","","","","","18.9549007415771","","","","","","","",
"Angola","AGO","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","6","2","","","","",
"Angola","AGO","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","114","108","","","","",
"Angola","AGO","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.95","7.33","4.11","3.93","6.08","9.58","16.13","5.89","9.73","10.04","12.07","10.16","11.85","13.78","13.18","16.78","20.63","23.85","32.02","31.32","37.06","43.47","28.88","33.81","45.41","","","",
"Angola","AGO","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0322900004684925","","","","","","","",
"Angola","AGO","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14100000","18300000","7421000","16587000","5960000","9480000","2790000","15750000","4420000","","","226800000","49430571.11","1339588441.64","12021694.12","12000000","","","","16332320.86","18843635.45","21944072.217","17490960","10997630","11569560","8226880","516010","","","","",
